DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2004919-E+200+-0,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004919-E+200-100,Profile not checked for limnic,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+200-200,Profile not checked for limnic,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+200-250,Profile not checked for limnic,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+300+-0,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004919-E+300-100,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+300-200,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+300-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+400+-0,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004919-E+400-100,Profile not checked for limnic,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+400-200,Non-horticultural quality; profile not checked for limnic; 200-340cm no samples taken,,,"S. Nelson and H. Jamsa on November 5, 1987",S. Nelson and H. Jamsa,"November 5, 1987",N,N
CARL-2004919-E+400-300,Profile not checked for limnic,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+400-350,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2004919-E+400-515,Upland approximately 25m north of this site,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004919-E+400-535,,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004919-E+400-585,,,,"S. Nelson and H. Jamsa on November 6, 1987",S. Nelson and H. Jamsa,"November 6, 1987",N,N
CARL-2004919-E+400-685,,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004919-E+500+-0,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+500-590,,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004919-E+600+-0,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
